Department,Department Name,Division,Gender,Base Salary,2024 Overtime Pay,2024 Longevity Pay,Grade
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,73671,0,0,13
BOE,Board of Elections,BOE 24 Polling Place Management,M,94843.76,0,0,21
HCA,Department of Housing and Community Affairs,HCA 76 Housing Code Enforcement,M,67925,0,0,19
BOE,Board of Elections,BOE 24 Registration Services,F,74641.3,20406.69,0,16
BOE,Board of Elections,BOE 24 Registration Services,F,74641.3,20134.57,0,16
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,87444.38,0,0,16
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,118119.6,0,0,N26
DOT,Department of Transportation,DOT 50 Highway Services,M,82573.88,25746.93,0,N18
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,F,130181,0,0,N25
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,M,33946.3,0,0,10
POL,Department of Police,POL 47 PSB 5th District Patrol,M,115223,20473.31,0,P4
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,59515.89,0,3733.62,23
OCP,Office of Consumer Protection,OCP 39 Operations,M,108033.52,0,0,N25
REC,Department of Recreation,REC 72 Business Services,F,130181,0,0,N25
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,106349,35294.37,0,C5
ZAH,Office of Zoning and Administrative Hearings,ZAH 05 Director,F,215032.1,0,0,LB2
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,124464,0,0,N24
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,108899,0,0,21
DOT,Department of Transportation,DOT 50 Transportation Technical Center,M,104197,14315.13,0,20
CCL,County Council,CCL 01 Council Members and Staff,F,165556.61,0,0,LB3
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,127416.04,2755.7,0,N26
COR,Correction and Rehabilitation,COR 42 PTS Supervision,F,123028.76,117.98,0,24
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,0,0,16
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,67810.05,0,0,13
LIB,Department of Public Libraries,LIB 71 Gaithersburg Library,F,31287.5,0,0,8
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,70516.18,1519.98,0,13
REC,Department of Recreation,REC 72 Facilities Division,M,108899,742.74,0,21
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,95458,0,0,18
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,76986,111.04,0,13
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,90927.54,29781.64,0,T1
REC,Department of Recreation,REC 72 Youth Development Youth Services,F,108899,552.69,0,21
LIB,Department of Public Libraries,LIB 71 Chevy Chase Library,F,110708.63,0,0,24
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,F,87523,0,0,16
DOT,Department of Transportation,DOT 50 Highway Administration,M,65406.86,11097.13,0,19
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,124464,0,0,24
LIB,Department of Public Libraries,LIB 71 Damascus Library,F,39135.75,0,0,13
REC,Department of Recreation,REC 72 Facilities Division,M,58136,0,0,8
LIB,Department of Public Libraries,LIB 71 Olney Library,F,45966.95,0,0,18
DOT,Department of Transportation,DOT 50 Highway Administration,M,99719,0,0,19
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,0,1126.09,16
FRS,Fire and Rescue Services,FRS 45 Logistics,F,95458,0,0,N18
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,26539.1,0,0,10
ABS,Alcohol Beverage Services,ABS 85 Montrose,M,74860.18,940.64,0,14
REC,Department of Recreation,REC 72 Senior Programs,F,108899,0,0,21
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,101195.49,0,0,N21
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,F,89819.25,5945.74,0,T1
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,36902.21,0,0,12
DOT,Department of Transportation,DOT 50 Highway Administration,M,113837,9210.23,0,22
REC,Department of Recreation,REC 72 Facilities Division,F,96095.58,510.68,0,21
POL,Department of Police,POL 47 MSB Communications Division,M,100903.82,1483.3,0,N25
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,F,89818.8,7444.02,0,T1
DOT,Department of Transportation,DOT 50 Highway Services,M,52254.84,3481.91,0,15
LIB,Department of Public Libraries,LIB 71 Collection Management,F,67129.95,0,0,13
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,99242.61,30758.97,0,T2
REC,Department of Recreation,REC 72 Aquatic Team Management,F,119032,0,0,N23
FRS,Fire and Rescue Services,FRS 45 Second Battalion - Administration,M,113204,24906.45,0,B1
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,M,74160.47,969.79,0,14
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,27949.5,0,0,5
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,F,87523,146.65,0,16
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,80335,1.67,0,14
REC,Department of Recreation,REC 72 Youth Development Youth Services,M,106734.9,0,0,N23
REC,Department of Recreation,REC 72 Aquatic Team Management,M,109386.32,5342.67,0,N23
ABS,Alcohol Beverage Services,ABS 85 White Oak,F,52753.38,1.33,0,12
FRS,Fire and Rescue Services,FRS 45 Station 31,M,102899,75686.1,0,F4
FRS,Fire and Rescue Services,FRS 45 Emergency Communications Center (ECC),M,81522,28819.96,0,F3
COR,Correction and Rehabilitation,COR 42 DS Detention Services,M,55899,0,0,5
OAS,Office of Animal Services,OAS 38 Animal Services Division,F,104197,3827.05,0,20
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,M,83162.47,0,0,18
REC,Department of Recreation,REC 72 Special Programs,M,80703.09,0,0,18
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,104197,0,0,20
DGS,Department of General Services,DGS 36 Facilities Maintenance,M,67207.01,29307.52,0,12
LIB,Department of Public Libraries,LIB 71 Little Falls Library,F,31287.34,0,0,8
POL,Department of Police,POL 47 CRB Policy and Planning Division,F,169555,0,0,M3
DOT,Department of Transportation,DOT 50 Transit Safety and Instruction,M,99719,13843.85,0,N19
OHR,Office of Human Resources,OHR 33 Professional Learning and Org Development,F,91489.75,0,0,N22
CEC,Community Engagement Cluster,CEC 16 Gilchrist Center,F,80632.6,1483.98,0,16
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,71838.68,20.04,0,14
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,75826.96,2086.44,0,14
ABS,Alcohol Beverage Services,ABS 85 Seneca Meadows,F,73506.31,642.47,0,14
POL,Department of Police,POL 47 PSB 6th District Community Action Team,F,100407,1649.24,0,P4
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,92036.29,14099.62,0,T1
FRS,Fire and Rescue Services,FRS 45 Fourth Battalion - Administration,M,121266,39159.93,0,B1
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,M,27949.5,0,0,5
LIB,Department of Public Libraries,LIB 71 Olney Library,F,73096.11,0,0,13
ABS,Alcohol Beverage Services,ABS 85 Wheaton,M,78325.39,284.97,0,N18
FRS,Fire and Rescue Services,FRS 45 Station 12,M,65367,20027.24,0,F2
CEC,Community Engagement Cluster,CEC 16 Silver Spring Urban District,M,65134,4849.38,0,9
ABS,Alcohol Beverage Services,ABS 85 Hampden Lane,F,74860.18,80.49,0,14
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,89818.8,6263.72,0,T1
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,67207.01,796.86,0,12
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 3 Security,M,93514,33048.52,0,C5
LIB,Department of Public Libraries,LIB 71 Connie Morella Library,F,81651.12,0,0,16
ABS,Alcohol Beverage Services,ABS 85 Montrose,M,78977.05,697.17,0,14
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,412.06,0,16
DOT,Department of Transportation,DOT 50 Highway Administration,M,136604.31,8260.39,0,M3
ABS,Alcohol Beverage Services,ABS 85 Downtown Rockville,M,86326.04,0,0,N18
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,79387.41,2.98,0,14
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,65367.02,19447.17,0,12
FIN,Department of Finance,FIN 32 Safety,F,130181,0,0,25
POL,Department of Police,POL 47 PSB 3rd District Special Assignment Team,M,112939,52017.38,0,P5
COR,Correction and Rehabilitation,COR 42 DS Intake Classification and Re-Entry Services,F,94148.74,0,0,24
REC,Department of Recreation,REC 72 Aquatic Team Management,M,85328.11,0,0,21
FRS,Fire and Rescue Services,FRS 45 Station 15,M,92809,33903.78,0,F4
FRS,Fire and Rescue Services,FRS 45 Station 32,M,136743,11385.87,0,B2
POL,Department of Police,POL 47 MSB Communications Division,F,93670.77,0,0,21
REC,Department of Recreation,REC 72 Youth Development,F,113150.18,0,0,N23
LIB,Department of Public Libraries,LIB 71 Collection Management,F,67129.95,0,0,13
ABS,Alcohol Beverage Services,ABS 85 Director's Office,F,95458,0,0,18
FRS,Fire and Rescue Services,FRS 45 Station 40,M,121266,34065.43,0,B1
REC,Department of Recreation,REC 72 Senior Programs,M,91907.2,592.1,0,18
COR,Correction and Rehabilitation,COR 42 DS Health Services,F,115470.11,23530.7,0,24
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,83837,5160.69,0,15
CEC,Community Engagement Cluster,CEC 16 Silver Spring Urban District,M,65134,4866.54,0,9
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,83669.58,0,0,N18
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 CIO System Center Configuration Management,M,132347.09,0,0,N28
LIB,Department of Public Libraries,LIB 71 Rockville Library,F,62819.33,0,0,13
LIB,Department of Public Libraries,LIB 71 White Oak Library,F,72987.22,0,0,13
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,0,0,16
LIB,Department of Public Libraries,LIB 71 Gaithersburg Library,F,76377.49,0,0,13
ABS,Alcohol Beverage Services,ABS 85 Cabin John,M,81079.35,498.18,0,N18
LIB,Department of Public Libraries,LIB 71 Materials Delivery,M,73804,0,0,12
ABS,Alcohol Beverage Services,ABS 85 King Farm,F,58061.52,646.23,0,12
ABS,Alcohol Beverage Services,ABS 85 Wheaton,M,59043.2,601.15,0,12
FRS,Fire and Rescue Services,FRS 45 Station 31,M,102899,23889.72,0,F4
CCL,County Council,CCL 01 Council Members and Staff,M,50077.09,0,0,N22
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,93638.23,0,0,24
LIB,Department of Public Libraries,LIB 71 Aspen Hill Library,F,100644.16,0,0,21
CEC,Community Engagement Cluster,CEC 16 Wheaton Urban District,M,79113.84,0,0,N16
FRS,Fire and Rescue Services,FRS 45 Station 12,M,96826,0,0,F3
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,54443.78,60.47,0,12
FRS,Fire and Rescue Services,FRS 45 Emergency Medical & Integrated Healthcare Services,F,135490.58,0,0,M3
FRS,Fire and Rescue Services,FRS 45 Station 16,M,121266,47549.8,0,B1
POL,Department of Police,POL 47 PSB 1st District Special Assignment Team,M,103923,12562.07,0,P4
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,95832.69,0,0,20
FRS,Fire and Rescue Services,FRS 45 Station 17,F,100215,32043.63,0,F3
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 3 Security,M,61833,16327.26,0,C3
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,80335,560.83,0,14
FRS,Fire and Rescue Services,FRS 45 Emergency Communications Center (ECC),M,100215,42840.35,0,F3
ABS,Alcohol Beverage Services,ABS 85 White Oak,M,30207.72,83.22,0,12
REC,Department of Recreation,REC 72 Youth Development Youth Services,F,89035.07,1079.83,0,21
PIO,Office of Public Information,PIO 23 Cable Programming,F,108899,291.86,0,N21
DOT,Department of Transportation,DOT 50 Highway Administration,M,106328.58,7714.28,0,22
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,89818.8,11515.11,0,T1
REC,Department of Recreation,REC 72 Aquatic Team Management,F,75969.03,0,0,18
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,90927.54,45703.16,0,T1
COR,Correction and Rehabilitation,COR 42 DS Health Services,F,130181,523.26,0,N25
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,M,109722.09,0,0,N23
DGS,Department of General Services,DGS 36 Central Duplicating,M,101349.1,15032.73,0,N20
LIB,Department of Public Libraries,LIB 71 Detention Center Library,F,56355.51,0,0,21
LIB,Department of Public Libraries,LIB 71 Kensington Park Library,F,38493.11,0,0,13
ABS,Alcohol Beverage Services,ABS 85 Westwood,M,32093.02,71.9,0,12
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,76986,0,0,13
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,F,71846.55,18594.17,0,N18
LIB,Department of Public Libraries,LIB 71 Olney Library,F,37303.33,0,0,13
REC,Department of Recreation,REC 72 Facilities Division,F,73306.23,211.47,0,18
COR,Correction and Rehabilitation,COR 42 DS Health Services,M,95458,15813.35,0,18
DOT,Department of Transportation,DOT 50 Transit Central Communication,F,95458,6547.35,0,18
DPS,Department of Permitting Services,DPS 75 Zoning and Site Plan Compliance,F,108899,0,0,21
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,63767.83,0,0,16
DOT,Department of Transportation,DOT 50 Highway Administration,M,118325.81,0,0,N25
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,108899,14886.93,0,N21
CEC,Community Engagement Cluster,CEC 16 Silver Spring Urban District,M,67893,2098.45,0,10
HHS,Department of Health and Human Services,HHS 60 Public Health Services Division,F,80350.22,437.15,0,18
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,59043.2,976.17,0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,83837,8068.77,0,15
FRS,Fire and Rescue Services,FRS 45 Station 15,M,100215,0,0,F3
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,72006.85,141.98,0,16
FRS,Fire and Rescue Services,FRS 45 Station 3,M,110232,10936.71,0,F4
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,90927.37,2326.1,0,T1
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,90927.54,105803.37,0,T1
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,94253,11425.2,0,T1
ABS,Alcohol Beverage Services,ABS 85 Burtonsville,F,54443.78,294.01,0,12
ABS,Alcohol Beverage Services,ABS 85 Muddy Branch,M,72905.95,74.82,0,14
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,89818.8,46511.09,0,T1
CEC,Community Engagement Cluster,CEC 16 Silver Spring Urban District,M,83328.91,22496.32,0,N17
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,76523.48,942.82,0,14
ABS,Alcohol Beverage Services,ABS 85 Wholesale Operations,M,108899,1085.96,0,21
CCL,County Council,CCL 01 Council Members and Staff,F,176047.47,0,0,LB3
LIB,Department of Public Libraries,LIB 71 White Oak Library,F,97737.38,0,0,21
LIB,Department of Public Libraries,LIB 71 Davis Library,M,38493.11,0,0,13
FRS,Fire and Rescue Services,FRS 45 Station 25,M,96059,10917.46,0,F4
DOT,Department of Transportation,DOT 50 Highway Administration,M,113837,9302.69,0,22
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,59043.2,866.54,0,12
REC,Department of Recreation,REC 72 Facilities Division,F,83044.27,0,0,18
REC,Department of Recreation,REC 72 Aquatic Team Management,M,87047.17,0,0,21
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,F,90927.54,5072.05,0,T1
FRS,Fire and Rescue Services,FRS 45 Station 33,M,95441,9237.85,0,F2
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,92036.29,14523.12,0,T1
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,M,109023.86,5783.25,0,22
ABS,Alcohol Beverage Services,ABS 85 Seneca Meadows,M,32605.84,0,0,12
CEX,Offices of the County Executive,CEX 15 Business Advancement Team,M,130181,0,0,N25
FRS,Fire and Rescue Services,FRS 45 Station 3,M,100215,1396.55,0,F3
REC,Department of Recreation,REC 72 Facilities Division,F,108899,0,0,21
FRS,Fire and Rescue Services,FRS 45 Station 2,M,95441,1874.75,0,F2
DOT,Department of Transportation,DOT 50 Parking Management Engineering and Capital Project Management,M,73804,1167.71,0,12
FRS,Fire and Rescue Services,FRS 45 Station 34,M,78764,33522.99,0,F3
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,92820.08,3035.52,0,18
ABS,Alcohol Beverage Services,ABS 85 Westwood,M,74637,0,0,14
REC,Department of Recreation,REC 72 Aquatic Team Management,M,93048.37,0,0,21
LIB,Department of Public Libraries,LIB 71 Kensington Park Library,F,36896.78,0,0,13
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,0,0,16
DOT,Department of Transportation,DOT 50 Highway Services,M,83837,16933.76,0,15
ABS,Alcohol Beverage Services,ABS 85 Liquor and Wine Delivery Operations,M,67893,1963.5,0,10
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,83837,159.53,0,15
CEC,Community Engagement Cluster,CEC 16 Silver Spring Urban District,M,65134,2213.86,0,9
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,108899,6736.35,0,N21
ABS,Alcohol Beverage Services,ABS 85 Kingsview,M,76581.04,2227.53,0,14
FRS,Fire and Rescue Services,FRS 45 Emergency Communications Center (ECC),M,100215,15678.75,0,F3
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,88710.61,17095.92,0,T1
DGS,Department of General Services,DGS 36 Fleet Management Fleet Services,M,99719,0,0,19
DOT,Department of Transportation,DOT 50 Development Review,M,130181,0,0,25
POL,Department of Police,POL 47 MSB Communications Division,F,113213.55,14974.39,0,N23
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,F,76986,1238.33,0,13
DOT,Department of Transportation,DOT 50 Transportation Technical Center,M,90927.98,15874.01,0,18
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,109248.42,9933.66,0,22
COR,Correction and Rehabilitation,COR 42 DS Food Services,M,90800.31,22757.25,0,18
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,74285.77,0,0,16
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,74285.77,8.25,0,16
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,F,89818.8,17569.38,0,T1
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,104197,0,0,20
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,74964.75,0,0,16
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,76582.63,0,0,16
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,84054.18,0,0,24
CUS,Community Use of Public Facilities,CUS 70 Finance and Administrative Support Team,F,95458,0,0,18
DEP,Department of Environmental Protection,DEP 80 Strategic Services Division,M,130637.56,0,0,N30
REC,Department of Recreation,REC 72 Aquatic Team Management,F,87522.93,0,0,16
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,104197,0,0,20
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,95458,0,0,18
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,89818.8,11616.78,0,T1
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,85950.94,1573.16,0,T1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,89818.8,33001.86,0,T1
DEP,Department of Environmental Protection,DEP 80 Monitoring and Planning,M,119032,0,0,23
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,F,124464,217.86,3122.97,24
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,89818.8,3603.71,0,T1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,89818.8,17747.1,0,T1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,99242.61,61863.31,0,T2
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,89818.8,14122.37,0,T1
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,F,83447.51,915.18,0,T1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,89818.8,4230.83,0,T1
TBS,Department of Technology and Enterprise Business Solutions,TBS 34 OMC MC311 Call Center,M,119032,0,0,N23
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,89819.25,7907.05,0,T1
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,M,72535.91,834.55,0,14
REC,Department of Recreation,REC 72 Aquatic Team Management,M,106719.67,0,0,N23
LIB,Department of Public Libraries,LIB 71 Marilyn J Praisner Library,F,38289.68,0,0,13
FRS,Fire and Rescue Services,FRS 45 Station 18,M,92211,9821.28,0,F2
FRS,Fire and Rescue Services,FRS 45 Station 15,M,110232,48431.36,0,F4
NDA,Non-Departmental Account,NDA 99 MCERP,M,208625,0,0,N39
FRS,Fire and Rescue Services,FRS 45 Station 16,M,81522,548.82,0,F3
FRS,Fire and Rescue Services,FRS 45 Station 25,M,100215,20252.53,0,F3
FRS,Fire and Rescue Services,FRS 45 Station 18,M,93549,618.42,0,F3
REC,Department of Recreation,REC 72 Youth Development Youth Services,M,108899,570.53,0,21
FRS,Fire and Rescue Services,FRS 45 Station 6,M,100215,0,0,F3
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,113837,0,0,22
HHS,Department of Health and Human Services,HHS 60 Chief Operating Officer Division,F,169555,0,0,M3
HHS,Department of Health and Human Services,HHS 60 Behavioral Health and Crisis Services Division,M,124464,0,0,24
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,68069.35,103.74,0,16
POL,Department of Police,POL 47 FSB Traffic Division Central Traffic Enforcement,M,115223,6459.97,0,P4
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,124464,1104.66,0,24
DGS,Department of General Services,DGS 36 Fleet Automotive Heavy Equipment,M,77001.38,1206.99,0,18
DEP,Department of Environmental Protection,DEP 80 Communications and Public Engagement,F,98550.63,0,0,23
ECM,Ethics Commission,ECM 19 Executive Director,M,180672.15,0,0,M2
POL,Department of Police,POL 47 HQ Office of the Chief,M,133078,2066.48,0,A1
HHS,Department of Health and Human Services,HHS 60 Child Welfare Services,F,120469.73,0,0,N25
COR,Correction and Rehabilitation,COR 42 DS Health Services,M,124464,0,0,24
COR,Correction and Rehabilitation,COR 42 DS MCCF Unit 1 Security,M,113065,23001.72,0,C6
LIB,Department of Public Libraries,LIB 71 Davis Library,F,28570.15,0,0,8
LIB,Department of Public Libraries,LIB 71 Rockville Library,F,35205.84,0,0,13
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223,5185.5,0,P4
POL,Department of Police,POL 47 MSB Training and Education Division,F,115223,5009.93,0,P4
POL,Department of Police,POL 47 PSB 5th District Special Assignment Team,M,115223,14397.13,0,P4
POL,Department of Police,POL 47 PSB 5th District Special Assignment Team,M,133078,44513.51,0,A1
POL,Department of Police,POL 47 FSB Traffic Division Central Traffic Enforcement,M,115223,12864.37,0,P4
POL,Department of Police,POL 47 PSB 6th District Patrol,M,133078,4604.01,0,A1
POL,Department of Police,POL 47 PSB 1st District Special Assignment Team,M,115223,48300.4,0,P4
POL,Department of Police,POL 47 PSB 2nd District Patrol,M,115223,562.34,0,P4
POL,Department of Police,POL 47 PSB 3rd District Community Operations,F,115223,7214.28,5881.61,P4
POL,Department of Police,POL 47 PSB 1st District Patrol,M,115223,617.69,0,P4
POL,Department of Police,POL 47 PSB 5th District Patrol,M,120984,19148.58,0,P5
POL,Department of Police,POL 47 MSB Training and Education Division,M,115223,9400.03,0,P4
REC,Department of Recreation,REC 72 Countywide Programs,F,108899,0,0,21
CEC,Community Engagement Cluster,CEC 16 Community Partnerships,F,51852.82,0,0,23
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,36902.21,0,0,12
POL,Department of Police,POL 47 CRB Community Engagement Division Community Engagement Section,M,128578,40455.32,0,A1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,89818.8,52229.33,0,T1
DOT,Department of Transportation,DOT 50 Transit Silver Spring Ride On,M,89818.8,10434.79,0,T1
DOT,Department of Transportation,DOT 50 Transit Gaithersburg Ride On,M,89818.8,9265.37,0,T1
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,M,89818.8,6132.97,0,T1
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,65123,1518.63,0,13
COR,Correction and Rehabilitation,COR 42 PRRS Facility and Security,M,104197,38686.97,0,20
COR,Correction and Rehabilitation,COR 42 DS MCDC Custody and Security,M,102957,4483.73,0,C5
LIB,Department of Public Libraries,LIB 71 Connie Morella Library,F,44412.3,0,0,18
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,124464,0,0,24
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,124464,0,0,24
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,75030.44,65.1,0,16
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,71773.69,0,0,16
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,71773.2,0,0,16
HHS,Department of Health and Human Services,HHS 60 School Health Services,F,71773.2,169.83,0,16
POL,Department of Police,POL 47 FSB Security Services Division,M,109721.98,27578.56,0,N23
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,81388.34,2876.59,0,15
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33929.96,169.78,0,10
POL,Department of Police,POL 47 MSB Management and Budget Division False Alarm Reduction Unit,M,93527.55,11677.44,0,18
HHS,Department of Health and Human Services,HHS 60 Office of Eligibility and Support Services,F,124464,2649.62,0,N24
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33929.96,0,0,10
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33929.96,0,0,10
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33929.96,0,0,10
DOT,Department of Transportation,DOT 50 Transit Special Transportation and Medicaid,F,108899,0,0,21
DGS,Department of General Services,DGS 36 Director,M,217359,0,0,M1
HHS,Department of Health and Human Services,HHS 60 School Health Services,M,95458,0,0,18
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,108899,0,0,21
POL,Department of Police,POL 47 PSB 1st District Patrol,M,103923,71.45,0,P4
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33929.99,0,0,10
HHS,Department of Health and Human Services,HHS 60 Aging & Disability Services Division,F,108899,0,0,21
POL,Department of Police,POL 47 FSB Traffic Division School Safety Section,F,33930.41,0,0,10
DOT,Department of Transportation,DOT 50 Transit Nicholson Ride On,F,89819,3683.56,0,T1
LIB,Department of Public Libraries,LIB 71 Twinbrook Library,F,31287.5,0,0,8
ABS,Alcohol Beverage Services,ABS 85 Special Order Liquor and Wine Warehouse Operations,M,78877.6,19481.44,0,N17
CAT,County Attorney's Office,CAT 30 County Attorney's Office,M,176054,0,0,N32
LIB,Department of Public Libraries,LIB 71 Connie Morella Library,F,25976.93,0,0,13
HHS,Department of Health and Human Services,HHS 60 Children Youth and Family Services Division,F,108443.32,0,0,N25
